,"Convertible Arbitrage","CTA Global","Distressed Securities","Emerging Markets","Equity Market Neutral","Event Driven","Fixed Income Arbitrage","Global Macro","Long/Short Equity","Merger Arbitrage","Relative Value","Short Selling","Funds of Funds"
1998-05-31,0.0056,0.0193,0.0006,-0.0825,0.0080,-0.0083,0.0040,0.0095,-0.0087,-0.0009,0.0053,0.1437,-0.0072
1998-06-30,-0.0006,0.0051,-0.0047,-0.0422,0.0108,0.0002,-0.0080,0.0120,0.0167,0.0072,0.0026,-0.0053,0.0021
1998-07-31,0.0060,-0.0010,-0.0069,0.0019,0.0012,-0.0037,0.0106,0.0058,-0.0006,0.0007,0.0011,0.0343,-0.0007
1998-08-31,-0.0319,0.0691,-0.0836,-0.1922,-0.0107,-0.0886,-0.0143,-0.0263,-0.0552,-0.0544,-0.0341,0.2463,-0.0616
1998-09-30,-0.0196,0.0454,-0.0215,-0.0395,0.0061,-0.0110,-0.0362,-0.0059,0.0206,0.0076,0.0005,-0.0376,-0.0037
1998-10-31,-0.0214,0.0004,-0.0029,0.0140,0.0052,0.0091,-0.0801,-0.0223,0.0169,0.0159,-0.0140,-0.1077,-0.0002
1998-11-30,0.0269,-0.0089,0.0164,0.0430,0.0158,0.0244,0.0052,0.0194,0.0291,0.0220,0.0198,-0.0756,0.0220
1998-12-31,0.0113,0.0221,0.0108,-0.0098,0.0209,0.0219,0.0120,0.0233,0.0408,0.0224,0.0164,-0.0531,0.0222
1999-01-31,0.0219,-0.0167,0.0181,-0.0120,0.0101,0.0201,0.0158,0.0086,0.0258,0.0112,0.0195,-0.0665,0.0202
1999-02-28,0.0082,0.0197,-0.0021,0.0102,0.0023,-0.0042,0.0208,-0.0111,-0.0169,0.0036,0.0085,0.0833,-0.0063
1999-03-31,0.0136,-0.0065,0.0159,0.0585,0.0033,0.0193,0.0160,0.0024,0.0229,0.0133,0.0116,-0.0154,0.0213
1999-04-30,0.0243,0.0210,0.0418,0.0630,0.0107,0.0429,0.0106,0.0329,0.0312,0.0218,0.0238,-0.0375,0.0400
1999-05-31,0.0166,-0.0150,0.0207,0.0061,0.0089,0.0215,0.0072,-0.0055,0.0095,0.0210,0.0146,0.0009,0.0119
1999-06-30,0.0102,0.0234,0.0273,0.0654,0.0168,0.0297,0.0088,0.0214,0.0315,0.0222,0.0148,-0.0412,0.0282
1999-07-31,0.0101,-0.0051,0.0084,-0.0061,0.0135,0.0096,0.0051,-0.0018,0.0177,0.0147,0.0110,0.0092,0.0088
1999-08-31,0.0048,-0.0027,0.0020,-0.0147,0.0095,-0.0027,-0.0028,-0.0061,0.0022,0.0050,0.0062,0.0468,0.0028
1999-09-30,0.0096,0.0064,-0.0041,-0.0069,0.0095,0.0090,0.0092,-0.0002,0.0113,0.0116,0.0105,0.0401,0.0052
1999-10-31,0.0045,-0.0354,0.0027,0.0288,0.0066,0.0054,0.0087,0.0073,0.0212,0.0096,0.0070,-0.0130,0.0130
1999-11-30,0.0124,0.0166,0.0220,0.0692,0.0133,0.0284,0.0106,0.0405,0.0481,0.0237,0.0137,-0.1239,0.0483
1999-12-31,0.0140,0.0142,0.0300,0.1230,0.0198,0.0286,0.0097,0.0612,0.0745,0.0090,0.0183,-0.1137,0.0622
2000-01-31,0.0227,0.0128,0.0088,0.0077,0.0075,0.0088,0.0041,0.0021,0.0075,0.0143,0.0173,0.0427,0.0169
2000-02-29,0.0267,-0.0022,0.0421,0.0528,0.0253,0.0346,0.0097,0.0408,0.0699,0.0239,0.0185,-0.1340,0.0666
2000-03-31,0.0243,-0.0138,0.0103,0.0318,0.0134,0.0069,-0.0061,-0.0104,0.0006,0.0131,0.0163,-0.0230,0.0039
2000-04-30,0.0223,-0.0241,-0.0101,-0.0541,0.0168,-0.0059,-0.0006,-0.0304,-0.0201,0.0188,0.0092,0.1028,-0.0269
2000-05-31,0.0149,0.0114,-0.0132,-0.0433,0.0062,-0.0034,0.0107,-0.0070,-0.0097,0.0146,0.0080,0.0704,-0.0122
2000-06-30,0.0179,-0.0124,0.0203,0.0334,0.0171,0.0268,0.0058,0.0154,0.0349,0.0167,0.0176,-0.1107,0.0311
2000-07-31,0.0093,-0.0131,0.0064,0.0025,0.0063,0.0057,0.0018,0.0037,0.0006,0.0116,0.0084,0.0553,-0.0022
2000-08-31,0.0162,0.0189,0.0140,0.0368,0.0210,0.0173,0.0107,0.0248,0.0345,0.0157,0.0157,-0.1135,0.0267
2000-09-30,0.0141,-0.0208,-0.0019,-0.0462,0.0058,0.0048,0.0076,-0.0149,-0.0016,0.0137,0.0075,0.1204,-0.0069
2000-10-31,0.0052,0.0075,-0.0073,-0.0256,0.0040,-0.0068,0.0006,-0.0024,-0.0084,0.0026,-0.0004,0.0784,-0.0104
2000-11-30,-0.0081,0.0425,-0.0209,-0.0385,0.0045,-0.0136,0.0066,0.0125,-0.0153,0.0102,0.0006,0.1657,-0.0205
2000-12-31,-0.0002,0.0682,0.0001,0.0116,0.0160,0.0127,0.0048,0.0472,0.0248,0.0125,0.0075,0.0063,0.0133
2001-01-31,0.0344,0.0025,0.0308,0.0586,0.0075,0.0298,0.0163,0.0214,0.0165,0.0111,0.0333,-0.0271,0.0223
2001-02-28,0.0182,-0.0016,0.0100,-0.0221,0.0120,0.0045,0.0054,-0.0072,-0.0264,0.0054,0.0030,0.1021,-0.0089
2001-03-31,0.0162,0.0438,-0.0037,-0.0175,0.0108,-0.0042,0.0051,0.0038,-0.0199,-0.0061,-0.0011,0.0620,-0.0068
2001-04-30,0.0157,-0.0362,0.0048,0.0114,0.0075,0.0110,0.0094,0.0049,0.0246,0.0058,0.0174,-0.0991,0.0104
2001-05-31,0.0033,0.0081,0.0235,0.0278,0.0077,0.0185,0.0068,0.0032,0.0043,0.0161,0.0141,-0.0130,0.0080
2001-06-30,0.0012,-0.0077,0.0360,0.0160,0.0017,0.0063,0.0017,0.0017,0.0019,-0.0087,0.0019,0.0110,0.0013
2001-07-31,0.0091,-0.0040,0.0073,-0.0286,0.0031,0.0049,0.0054,-0.0040,-0.0144,0.0079,0.0010,0.0353,-0.0040
2001-08-31,0.0142,0.0153,0.0106,0.0030,0.0094,0.0090,0.0105,0.0006,-0.0096,0.0099,-0.0031,0.0752,0.0019
2001-09-30,0.0078,0.0246,-0.0014,-0.0425,0.0023,-0.0254,-0.0013,-0.0070,-0.0348,-0.0267,-0.0221,0.0941,-0.0142
2001-10-31,0.0117,0.0336,0.0103,0.0278,0.0058,0.0148,0.0134,0.0208,0.0099,0.0085,0.0164,-0.0298,0.0095
2001-11-30,0.0080,-0.0543,0.0086,0.0483,0.0055,0.0105,-0.0024,0.0021,0.0200,0.0014,0.0136,-0.0655,0.0058
2001-12-31,-0.0094,0.0148,0.0015,0.0421,0.0056,0.0107,0.0053,0.0138,0.0180,0.0045,0.0097,-0.0251,0.0099
2002-01-31,0.0148,-0.0072,0.0186,0.0273,0.0065,0.0078,0.0086,0.0069,-0.0037,0.0077,0.0097,0.0343,0.0030
2002-02-28,-0.0049,-0.0202,-0.0033,0.0181,-0.0007,-0.0071,0.0056,-0.0035,-0.0123,-0.0044,-0.0011,0.0390,-0.0015
2002-03-31,0.0053,0.0009,0.0052,0.0331,0.0047,0.0153,0.0045,0.0064,0.0155,0.0073,0.0145,-0.0446,0.0090
2002-04-30,0.0096,-0.0104,0.0139,0.0144,0.0076,0.0046,0.0113,0.0098,-0.0042,-0.0013,0.0070,0.0483,0.0052
2002-05-31,0.0033,0.0270,0.0091,0.0001,0.0053,0.0001,0.0099,0.0123,-0.0034,0.0000,0.0031,0.0346,0.0050
2002-06-30,0.0004,0.0655,-0.0117,-0.0292,0.0022,-0.0283,0.0069,-0.0022,-0.0249,-0.0170,-0.0107,0.0548,-0.0095
2002-07-31,-0.0159,0.0413,-0.0133,-0.0309,-0.0013,-0.0300,0.0057,-0.0078,-0.0389,-0.0174,-0.0185,0.0644,-0.0140
2002-08-31,0.0050,0.0220,0.0009,0.0119,0.0069,0.0060,0.0097,0.0063,0.0041,0.0061,0.0058,0.0015,0.0037
2002-09-30,0.0146,0.0284,-0.0044,-0.0252,0.0015,-0.0070,-0.0033,0.0054,-0.0160,-0.0028,-0.0110,0.0731,-0.0033
2002-10-31,0.0104,-0.0376,-0.0031,0.0154,0.0016,0.0031,-0.0063,-0.0086,0.0123,0.0032,0.0084,-0.0405,-0.0031
2002-11-30,0.0251,-0.0164,0.0239,0.0190,0.0025,0.0216,0.0054,0.0047,0.0224,0.0054,0.0185,-0.0547,0.0106
2002-12-31,0.0157,0.0489,0.0222,0.0048,0.0094,0.0044,0.0153,0.0192,-0.0149,0.0046,0.0023,0.0443,0.0077
2003-01-31,0.0283,0.0441,0.0243,0.0012,0.0083,0.0154,0.0106,0.0182,0.0005,0.0040,0.0067,0.0162,0.0072
2003-02-28,0.0133,0.0402,0.0092,0.0084,0.0024,0.0026,0.0079,0.0166,-0.0037,0.0018,-0.0004,0.0130,0.0031
2003-03-31,0.0089,-0.0445,0.0113,0.0019,0.0015,0.0083,0.0019,-0.0122,0.0020,-0.0007,0.0049,-0.0075,-0.0004
2003-04-30,0.0150,0.0065,0.0345,0.0450,0.0031,0.0272,0.0091,0.0117,0.0298,0.0099,0.0186,-0.0656,0.0134
2003-05-31,0.0136,0.0490,0.0270,0.0433,0.0107,0.0301,0.0207,0.0397,0.0362,0.0154,0.0212,-0.0499,0.0205
2003-06-30,-0.0058,-0.0192,0.0267,0.0268,0.0034,0.0181,0.0044,0.0056,0.0128,0.0048,0.0071,-0.0162,0.0068
2003-07-31,-0.0072,-0.0171,0.0117,0.0104,-0.0006,0.0119,-0.0092,-0.0035,0.0118,0.0053,0.0041,-0.0361,0.0025
2003-08-31,-0.0087,0.0078,0.0137,0.0374,0.0031,0.0133,0.0043,0.0202,0.0179,0.0070,0.0058,-0.0354,0.0078
2003-09-30,0.0171,-0.0019,0.0242,0.0264,0.0078,0.0133,0.0105,0.0215,0.0094,0.0077,0.0086,0.0136,0.0121
2003-10-31,0.0146,0.0104,0.0267,0.0259,0.0115,0.0191,0.0035,0.0111,0.0299,0.0111,0.0159,-0.0656,0.0152
2003-11-30,0.0092,0.0018,0.0154,0.0096,0.0046,0.0116,0.0069,0.0031,0.0130,0.0044,0.0102,-0.0136,0.0070
2003-12-31,0.0054,0.0381,0.0198,0.0403,0.0054,0.0172,0.0101,0.0293,0.0191,0.0098,0.0127,-0.0178,0.0139
2004-01-31,0.0119,0.0199,0.0301,0.0251,0.0109,0.0234,0.0092,0.0117,0.0192,0.0097,0.0146,-0.0090,0.0156
2004-02-29,0.0017,0.0529,0.0075,0.0253,0.0063,0.0113,0.0084,0.0150,0.0123,0.0051,0.0057,0.0018,0.0111
2004-03-31,0.0061,-0.0051,0.0046,0.0172,0.0032,0.0016,0.0003,0.0064,0.0041,0.0017,0.0038,-0.0148,0.0043
2004-04-30,0.0020,-0.0532,0.0093,-0.0252,-0.0082,0.0002,0.0062,-0.0178,-0.0165,-0.0039,-0.0045,0.0384,-0.0068
2004-05-31,-0.0128,-0.0118,-0.0010,-0.0181,0.0024,-0.0023,0.0040,-0.0081,-0.0035,0.0000,-0.0037,-0.0024,-0.0082
2004-06-30,-0.0106,-0.0316,0.0202,0.0020,0.0042,0.0113,0.0055,-0.0019,0.0091,0.0017,0.0022,-0.0051,0.0034
2004-07-31,0.0013,-0.0119,0.0019,-0.0027,0.0006,-0.0082,0.0062,-0.0014,-0.0154,-0.0092,0.0007,0.0638,-0.0049
2004-08-31,0.0040,-0.0084,0.0088,0.0133,-0.0009,0.0035,0.0036,-0.0039,-0.0022,0.0011,0.0031,0.0126,-0.0010
2004-09-30,-0.0017,0.0220,0.0104,0.0280,0.0085,0.0103,0.0012,0.0008,0.0210,0.0042,0.0052,-0.0216,0.0099
2004-10-31,-0.0044,0.0358,0.0143,0.0185,-0.0005,0.0124,0.0028,0.0138,0.0074,0.0074,0.0040,-0.0092,0.0068
2004-11-30,0.0081,0.0475,0.0337,0.0328,0.0140,0.0306,0.0075,0.0280,0.0308,0.0164,0.0149,-0.0574,0.0244
2004-12-31,0.0056,0.0000,0.0266,0.0201,0.0058,0.0244,0.0060,0.0033,0.0178,0.0133,0.0099,-0.0391,0.0145
2005-01-31,-0.0096,-0.0438,0.0037,0.0143,0.0081,0.0004,0.0044,-0.0047,-0.0017,0.0000,0.0012,0.0387,0.0006
2005-02-28,-0.0058,0.0005,0.0134,0.0346,0.0080,0.0144,0.0085,0.0171,0.0210,0.0065,0.0081,0.0118,0.0136
2005-03-31,-0.0140,-0.0006,0.0032,-0.0197,0.0019,-0.0004,0.0024,-0.0027,-0.0096,0.0032,-0.0042,0.0244,-0.0044
2005-04-30,-0.0316,-0.0354,-0.0052,-0.0049,-0.0030,-0.0128,-0.0003,-0.0080,-0.0184,-0.0105,-0.0108,0.0393,-0.0141
2005-05-31,-0.0133,0.0232,0.0006,0.0072,0.0047,0.0065,-0.0010,0.0088,0.0115,0.0095,-0.0002,-0.0475,0.0018
2005-06-30,0.0107,0.0260,0.0133,0.0160,0.0081,0.0133,0.0010,0.0116,0.0195,0.0085,0.0095,-0.0032,0.0131
2005-07-31,0.0164,-0.0013,0.0173,0.0257,0.0078,0.0215,0.0081,0.0119,0.0265,0.0115,0.0149,-0.0242,0.0134
2005-08-31,0.0066,0.0100,0.0124,0.0152,0.0062,0.0092,0.0036,0.0083,0.0097,0.0061,0.0053,0.0259,0.0079
2005-09-30,0.0142,0.0079,0.0112,0.0402,0.0087,0.0100,0.0062,0.0269,0.0222,0.0035,0.0122,0.0198,0.0147
2005-10-31,-0.0015,-0.0092,-0.0032,-0.0230,0.0001,-0.0173,0.0057,-0.0074,-0.0174,-0.0145,-0.0038,0.0233,-0.0149
2005-11-30,0.0004,0.0379,0.0100,0.0279,0.0061,0.0125,0.0015,0.0164,0.0211,0.0112,0.0067,-0.0300,0.0160
2005-12-31,0.0092,-0.0153,0.0122,0.0284,0.0068,0.0142,0.0054,0.0135,0.0249,0.0138,0.0126,-0.0035,0.0191
2006-01-31,0.0250,0.0174,0.0253,0.0526,0.0115,0.0341,0.0093,0.0258,0.0381,0.0272,0.0238,-0.0288,0.0286
2006-02-28,0.0116,-0.0186,0.0065,0.0161,0.0046,0.0051,0.0041,0.0002,0.0016,0.0104,0.0073,0.0064,0.0037
2006-03-31,0.0107,0.0284,0.0172,0.0122,0.0098,0.0185,0.0055,0.0094,0.0238,0.0144,0.0157,-0.0139,0.0164
2006-04-30,0.0064,0.0387,0.0193,0.0365,0.0102,0.0164,0.0121,0.0238,0.0172,0.0119,0.0126,-0.0012,0.0171
2006-05-31,0.0091,-0.0146,0.0086,-0.0389,0.0002,0.0008,0.0059,-0.0155,-0.0248,0.0009,-0.0025,0.0246,-0.0133
2006-06-30,0.0012,-0.0142,-0.0015,-0.0097,0.0063,0.0012,0.0036,-0.0015,-0.0062,0.0087,0.0021,0.0118,-0.0028
2006-07-31,0.0066,-0.0216,0.0009,0.0067,0.0051,-0.0011,0.0064,0.0006,-0.0031,0.0058,0.0017,0.0173,-0.0005
2006-08-31,0.0098,0.0020,0.0099,0.0133,-0.0009,0.0112,0.0037,-0.0039,0.0114,0.0053,0.0092,-0.0156,0.0066
2006-09-30,0.0093,-0.0055,0.0033,0.0011,0.0009,0.0035,0.0014,-0.0067,0.0005,0.0041,0.0040,-0.0236,-0.0003
2006-10-31,0.0054,0.0102,0.0194,0.0257,0.0065,0.0206,0.0067,0.0097,0.0194,0.0132,0.0132,-0.0380,0.0163
2006-11-30,0.0092,0.0226,0.0179,0.0323,0.0075,0.0182,0.0060,0.0199,0.0200,0.0142,0.0129,-0.0268,0.0185
2006-12-31,0.0127,0.0146,0.0165,0.0291,0.0107,0.0168,0.0072,0.0116,0.0153,0.0133,0.0128,0.0039,0.0175
2007-01-31,0.0130,0.0113,0.0150,0.0079,0.0083,0.0201,0.0069,0.0061,0.0121,0.0191,0.0135,-0.0107,0.0121
2007-02-28,0.0117,-0.0144,0.0145,0.0100,0.0051,0.0207,0.0106,0.0018,0.0082,0.0255,0.0114,0.0028,0.0096
2007-03-31,0.0060,-0.0141,0.0108,0.0185,0.0101,0.0146,0.0060,0.0027,0.0115,0.0063,0.0081,-0.0051,0.0096
2007-04-30,0.0026,0.0241,0.0164,0.0255,0.0089,0.0197,0.0071,0.0152,0.0198,0.0160,0.0134,-0.0265,0.0163
2007-05-31,0.0110,0.0230,0.0180,0.0270,0.0121,0.0213,0.0055,0.0192,0.0224,0.0171,0.0156,-0.0199,0.0204
2007-06-30,0.0011,0.0229,0.0027,0.0236,0.0077,-0.0007,0.0048,0.0107,0.0077,-0.0053,0.0100,0.0236,0.0082
2007-07-31,-0.0053,-0.0122,-0.0056,0.0275,0.0051,-0.0032,0.0007,0.0116,0.0009,-0.0054,0.0004,0.0486,0.0041
2007-08-31,-0.0145,-0.0280,-0.0118,-0.0274,-0.0094,-0.0144,-0.0048,-0.0116,-0.0160,0.0001,-0.0077,0.0092,-0.0222
2007-09-30,0.0161,0.0469,0.0095,0.0428,0.0123,0.0134,0.0164,0.0330,0.0256,0.0131,0.0153,-0.0207,0.0199
2007-10-31,0.0177,0.0280,0.0175,0.0485,0.0168,0.0214,0.0114,0.0304,0.0281,0.0191,0.0200,-0.0026,0.0303
2007-11-30,-0.0131,-0.0016,-0.0169,-0.0237,-0.0018,-0.0202,-0.0094,-0.0063,-0.0225,-0.0149,-0.0112,0.0719,-0.0148
2007-12-31,-0.0077,0.0117,0.0002,0.0130,0.0054,0.0007,0.0036,0.0104,0.0043,-0.0025,0.0022,0.0056,0.0040
2008-01-31,-0.0009,0.0255,-0.0233,-0.0503,-0.0112,-0.0271,-0.0012,-0.0010,-0.0400,-0.0126,-0.0118,0.0556,-0.0272
2008-02-29,-0.0083,0.0620,0.0014,0.0280,0.0120,0.0084,-0.0049,0.0312,0.0140,0.0060,0.0064,0.0300,0.0142
2008-03-31,-0.0317,-0.0056,-0.0126,-0.0379,-0.0049,-0.0168,-0.0306,-0.0169,-0.0236,-0.0045,-0.0162,0.0192,-0.0262
2008-04-30,0.0076,-0.0078,0.0088,0.0190,0.0059,0.0118,0.0187,0.0078,0.0223,0.0149,0.0130,-0.0461,0.0097
2008-05-31,0.0107,0.0162,0.0137,0.0163,0.0126,0.0176,0.0103,0.0114,0.0227,0.0136,0.0159,-0.0142,0.0172
2008-06-30,-0.0081,0.0330,-0.0031,-0.0274,0.0156,-0.0113,-0.0027,0.0030,-0.0164,-0.0109,-0.0084,0.0751,-0.0068
2008-07-31,-0.0188,-0.0333,-0.0182,-0.0330,-0.0100,-0.0166,-0.0023,-0.0213,-0.0261,0.0011,-0.0125,0.0072,-0.0264
2008-08-31,-0.0066,-0.0114,-0.0072,-0.0336,-0.0135,-0.0025,-0.0003,-0.0133,-0.0146,0.0051,-0.0023,-0.0215,-0.0156
2008-09-30,-0.1027,0.0010,-0.0518,-0.0982,-0.0285,-0.0627,-0.0506,-0.0313,-0.0675,-0.0276,-0.0538,0.0378,-0.0618
2008-10-31,-0.1237,0.0345,-0.0775,-0.1331,-0.0044,-0.0625,-0.0867,-0.0157,-0.0629,-0.0245,-0.0692,0.1170,-0.0600
2008-11-30,-0.0276,0.0214,-0.0435,-0.0391,-0.0587,-0.0301,-0.0308,0.0033,-0.0188,0.0006,-0.0209,0.0428,-0.0192
2008-12-31,0.0177,0.0140,-0.0197,-0.0010,0.0005,-0.0071,-0.0035,0.0118,0.0081,0.0162,0.0031,-0.0146,-0.0119
2009-01-31,0.0491,-0.0016,0.0082,-0.0112,0.0079,0.0132,0.0112,0.0029,-0.0017,0.0056,0.0100,0.0282,0.0060
2009-02-28,0.0164,-0.0031,-0.0122,-0.0133,-0.0046,-0.0091,0.0065,-0.0055,-0.0161,0.0006,-0.0016,0.0328,-0.0037
2009-03-31,0.0235,-0.0180,0.0022,0.0350,0.0021,0.0117,0.0057,0.0048,0.0188,0.0125,0.0100,-0.0462,0.0008
2009-04-30,0.0500,-0.0140,0.0387,0.0663,-0.0012,0.0337,0.0221,0.0127,0.0375,0.0081,0.0342,-0.0820,0.0092
2009-05-31,0.0578,0.0213,0.0504,0.0884,0.0146,0.0442,0.0365,0.0348,0.0516,0.0107,0.0392,0.0008,0.0312
2009-06-30,0.0241,-0.0147,0.0198,0.0013,0.0036,0.0123,0.0126,-0.0076,0.0009,0.0104,0.0101,-0.0094,0.0024
2009-07-31,0.0611,-0.0012,0.0311,0.0451,0.0042,0.0291,0.0322,0.0166,0.0277,0.0068,0.0260,-0.0596,0.0153
2009-08-31,0.0315,0.0054,0.0244,0.0166,0.0070,0.0207,0.0202,0.0050,0.0157,0.0102,0.0162,-0.0165,0.0113
